name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_308,True,True,27.2051,92.77,49.57,0.0303,0.4656,0.653,False
test_309,True,True,0.2388,0.86,0.47,0.8721,0.5876,0.714,True
test_310,True,True,14.7430,51.36,28.03,0.0414,0.5585,0.000,False
test_311,True,True,4.9717,5.90,13.95,0.0586,0.4976,0.000,True
test_312,True,True,0.9984,1.66,0.05,0.6951,0.5480,0.663,True
test_313,True,True,4.3970,6.55,13.71,0.0329,0.5588,0.000,True
test_314,True,True,2.8538,6.68,11.23,0.0268,0.3703,0.218,True
test_315,True,True,0.3796,0.03,0.64,0.7577,0.5769,0.671,True
test_316,True,True,0.1472,1.12,1.36,0.6603,0.5080,0.670,True
test_317,True,True,0.5607,1.45,0.54,0.7581,0.5776,0.694,True
test_318,True,True,1.2810,2.32,0.23,0.6294,0.5483,0.650,True
test_319,True,True,0.5587,3.78,2.87,0.4892,0.4859,0.660,True
test_320,True,True,0.0145,1.47,1.45,0.7501,0.4968,0.669,True
test_321,True,True,0.9780,0.28,1.86,0.6197,0.4490,0.676,True
test_322,True,True,1.2205,4.04,2.05,0.4171,0.4611,0.667,True
test_323,True,True,4.3216,4.88,11.72,0.0701,0.5316,0.648,True
test_324,True,True,0.0903,0.63,0.48,1.0000,0.3799,0.654,True
test_325,True,True,1.8839,5.68,2.70,0.3816,0.4070,0.657,True
test_326,True,True,28.5098,103.27,57.87,0.0152,0.4915,0.678,False
test_327,True,True,1.1667,4.68,2.78,0.4173,0.4159,0.700,True
test_328,True,True,0.4603,1.01,1.75,0.5677,0.4951,0.686,True
test_329,True,True,1.7555,3.65,0.87,0.4707,0.4659,0.622,True
test_330,True,True,1.0679,4.20,2.46,0.4923,0.4937,0.689,True
test_331,True,True,11.3443,45.84,27.53,0.0069,0.5381,0.000,False
test_332,True,True,0.3260,0.71,0.18,0.8714,0.5226,0.708,True
test_333,True,True,1.4243,3.90,1.60,0.4663,0.4445,0.711,True
test_334,True,True,4.3278,11.51,4.54,0.2061,0.2963,0.614,False
test_335,True,True,2.8669,8.81,4.30,0.2265,0.3365,0.645,True
test_336,True,True,3.9419,11.69,18.29,0.0003,0.5206,0.000,False
test_337,True,True,0.1444,0.23,0.47,0.8738,0.4131,0.685,True
test_338,True,True,4.4060,7.69,0.42,0.2118,0.2833,0.408,True
test_339,True,True,0.6270,1.08,0.05,0.7586,0.5821,0.715,True
test_340,True,True,0.8716,1.37,0.05,0.7580,0.5776,0.690,True
test_341,True,True,1.5340,3.01,0.55,0.5414,0.5366,0.652,True
test_342,True,True,30.0977,99.42,51.39,0.0277,0.5696,0.697,False
test_343,True,True,0.3992,2.20,1.55,0.6602,0.5197,0.711,True
test_344,True,True,0.6062,0.59,1.57,0.6584,0.5603,0.697,True
test_345,True,True,30.9594,102.62,52.89,0.0266,0.4696,0.680,False
test_346,True,True,29.3805,98.04,51.22,0.0282,0.6143,0.697,False
test_347,True,True,29.3612,97.12,50.17,0.0274,0.5744,0.702,False
test_348,True,True,0.9757,4.87,3.28,0.3514,0.4424,0.708,True
test_349,True,True,28.8934,97.42,51.43,0.0284,0.5815,0.722,False
test_350,True,True,0.8506,2.64,1.24,0.5707,0.4876,0.693,True
